data_type	code	name	short_name	extra1	extra2	create_by	create_time
CUSTOMER	BALM001	BALM001	BALM001			system-auto-sync	2026-03-30 17:53:32
CUSTOMER	DGFY001	DGFY001	DGFY001			system-auto-sync	2026-03-30 17:53:32
CUSTOMER	FL5001	FL5001	FL5001			system-auto-sync	2026-03-30 17:53:32
CUSTOMER	GC6001	GC6001	GC6001			system-auto-sync	2026-03-30 17:53:32
CUSTOMER	GDMG001	GDMG001	GDMG001			system-auto-sync	2026-03-30 17:53:32
CUSTOMER	GJDL001	GJDL001	GJDL001			system-auto-sync	2026-03-30 17:53:32
CUSTOMER	GL4001	GL4001	GL4001			system-auto-sync	2026-03-30 17:53:32
CUSTOMER	HL001	HL001	HL001			system-auto-sync	2026-03-30 17:53:32
CUSTOMER	HNQY001	HNQY001	HNQY001			system-auto-sync	2026-03-30 17:53:32
CUSTOMER	HP4001	HP4001	HP4001			system-auto-sync	2026-03-30 17:53:32
CUSTOMER	HXYC001	HXYC001	HXYC001			system-auto-sync	2026-03-30 17:53:32
CUSTOMER	JA6002	JA6002	JA6002			system-auto-sync	2026-03-30 17:53:32
CUSTOMER	JDK001	JDK001	JDK001			system-auto-sync	2026-03-30 17:53:32
CUSTOMER	JH001	JH001	JH001			system-auto-sync	2026-03-30 17:53:32
CUSTOMER	JY5001	JY5001	JY5001			system-auto-sync	2026-03-30 17:53:32
CUSTOMER	LSSD001	LSSD001	LSSD001			system-auto-sync	2026-03-30 17:53:32
CUSTOMER	NTTJ001	NTTJ001	NTTJ001			system-auto-sync	2026-03-30 17:53:32
CUSTOMER	NX1001	NX1001	NX1001			system-auto-sync	2026-03-30 17:53:32
CUSTOMER	QH6001	QH6001	QH6001			system-auto-sync	2026-03-30 17:53:32
CUSTOMER	QLX5002	QLX5002	QLX5002			system-auto-sync	2026-03-30 17:53:32
CUSTOMER	QT6001	QT6001	QT6001			system-auto-sync	2026-03-30 17:53:32
CUSTOMER	SD1S01	SD1S01	SD1S01			system-auto-sync	2026-03-30 17:53:32
CUSTOMER	SHRP001	SHRP001	SHRP001			system-auto-sync	2026-03-30 17:53:32
CUSTOMER	WCY001	WCY001	WCY001			system-auto-sync	2026-03-30 17:53:32
CUSTOMER	WDGF001	WDGF001	WDGF001			system-auto-sync	2026-03-30 17:53:32
CUSTOMER	WTXN001	WTXN001	WTXN001			system-auto-sync	2026-03-30 17:53:32
CUSTOMER	WY001	WY001	WY001			system-auto-sync	2026-03-30 17:53:32
CUSTOMER	XD4001	XD4001	XD4001			system-auto-sync	2026-03-30 17:53:32
CUSTOMER	XMDZ001	XMDZ001	XMDZ001			system-auto-sync	2026-03-30 17:53:32
CUSTOMER	XW5001	XW5001	XW5001			system-auto-sync	2026-03-30 17:53:32
CUSTOMER	YC1001	YC1001	YC1001			system-auto-sync	2026-03-30 17:53:32
CUSTOMER	YCXH001	YCXH001	YCXH001			system-auto-sync	2026-03-30 17:53:32
CUSTOMER	YD4001	YD4001	YD4001			system-auto-sync	2026-03-30 17:53:32
CUSTOMER	YD6001	YD6001	YD6001			system-auto-sync	2026-03-30 17:53:32
CUSTOMER	YHGD001	YHGD001	YHGD001			system-auto-sync	2026-03-30 17:53:32
CUSTOMER	YY6003	YY6003	YY6003			system-auto-sync	2026-03-30 17:53:32
CUSTOMER	ZJJY001	ZJJY001	ZJJY001			system-auto-sync	2026-03-30 17:53:32
CUSTOMER	ZZ1001	ZZ1001	ZZ1001			system-auto-sync	2026-03-30 17:53:32
MATERIAL	聽1011-R02-1507-G05-0350	聽1011-R02-1507-G05-0350				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011--R02-2520-G01-0450	1011--R02-2520-G01-0450				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-DGM25-2525-B01-0900	1011-DGM25-2525-B01-0900				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-0903-G03-0300H	1011-R02-0903-G03-0300H				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-1204-B05-0300	1011-R02-1204-B05-0300				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-1204-G03-0200聽	1011-R02-1204-G03-0200聽				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-1204-G03-0300H	1011-R02-1204-G03-0300H				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-1204-G03-0500	1011-R02-1204-G03-0500				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-1503-G01-0200	1011-R02-1503-G01-0200				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-1503-G01-0200-H	1011-R02-1503-G01-0200-H				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-1503-G01-0200H聽	1011-R02-1503-G01-0200H聽				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-1506-C01-0100-2#	1011-R02-1506-C01-0100-2#				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-1506-G01-0100H	1011-R02-1506-G01-0100H				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-1506-G01-0300-H	1011-R02-1506-G01-0300-H				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-1506-G01-0350聽	1011-R02-1506-G01-0350聽				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-1506-G01-0350聽H	1011-R02-1506-G01-0350聽H				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-1506-G01-0350-H	1011-R02-1506-G01-0350-H				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-1506-G03-0300H	1011-R02-1506-G03-0300H				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-1507-B01-0300	1011-R02-1507-B01-0300				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-1507-B01-0400聽	1011-R02-1507-B01-0400聽				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-1507-G03-0400-2#聽	1011-R02-1507-G03-0400-2#聽				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-1507-G03-0400-2#聽聽	1011-R02-1507-G03-0400-2#聽聽				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-1507-G05-0350-H	1011-R02-1507-G05-0350-H				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-1507-G08-0300	1011-R02-1507-G08-0300				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-1510-Y01-0400	1011-R02-1510-Y01-0400				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-1512-G10-0500H	1011-R02-1512-G10-0500H				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-1535-C05-1000H	1011-R02-1535-C05-1000H				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-1904-G01-0200	1011-R02-1904-G01-0200				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-1904-G06-0200	1011-R02-1904-G06-0200				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-1905-B05-0300	1011-R02-1905-B05-0300				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2003-G01-0200H	1011-R02-2003-G01-0200H				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2003-G01-0200H聽	1011-R02-2003-G01-0200H聽				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2010-B02-0350-H	1011-R02-2010-B02-0350-H				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2010-B02-0350-HCD1-20	1011-R02-2010-B02-0350-HCD1-20				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2010-B02-0500-H	1011-R02-2010-B02-0500-H				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2010-B02-0500-JZM1/JZM2	1011-R02-2010-B02-0500-JZM1/JZM2				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2010-B05-0400聽	1011-R02-2010-B05-0400聽				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2010-B05-0500	1011-R02-2010-B05-0500				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2010-BK01-0450聽	1011-R02-2010-BK01-0450聽				system-auto-sync	2026-03-30 17:53:33
