material_code	quotation_no	unit	unit_price	status	quotation_date	latest_time
GLXZ-S90Y 1锛?	PQ-20260511-095228881-3413	銕?2.5000	accepted	2026-05-10	2026-05-11 01:52:29
GLXZ-S90Y1锛?	PQ-20260511-095228881-3413	kg	2.5000	accepted	2026-05-10	2026-05-11 01:52:37
LXZG-01	PQ-20260408-133148957-1908	pcs	4.0000	accepted	2026-04-08	2026-04-08 05:31:49
LXZG-02	PQ-20260408-133148957-1908	pcs	3.7000	accepted	2026-04-08	2026-04-08 05:31:49
MJLXZG-01	PQ-20260408-133148957-1908	pcs	13.0000	accepted	2026-04-08	2026-04-08 05:31:49
MJLXZG-02	PQ-20260408-133148957-1908	pcs	15.4000	accepted	2026-04-08	2026-04-08 05:31:49
PELXM-100B	PQ-20260511-094403305-9969	kg	3.1500	draft	2026-05-11	2026-05-11 01:44:03
PELXM-120BY 1锛?	PQ-20260511-093852206-4620	銕?3.0000	accepted	2026-05-10	2026-05-11 01:38:52
PELXM-120BY1锛?	PQ-20260511-093852206-4620	kg	3.0000	accepted	2026-05-10	2026-05-11 01:39:23
PELXM-60BY	PQ-20260511-093852206-4620	kg	1.8000	accepted	2026-05-10	2026-05-11 01:39:23
PELXM-60GY	PQ-20260511-094403305-9969	kg	2.1500	draft	2026-05-11	2026-05-11 01:44:03
PELXM-80BY	PQ-20260511-093852206-4620	銕?2.1000	accepted	2026-05-10	2026-05-11 01:38:52
PELXM-80BY 1锛?	PQ-20260511-093852206-4620	銕?2.2000	accepted	2026-05-10	2026-05-11 01:38:52
PELXM-80BY1锛?	PQ-20260511-093852206-4620	kg	2.2000	accepted	2026-05-10	2026-05-11 01:39:23
PELXM-80GY	PQ-20260511-093852206-4620	kg	2.1000	accepted	2026-05-10	2026-05-11 01:39:23
PELXM-80GY 1:3	PQ-20260511-093852206-4620	銕?2.1000	accepted	2026-05-10	2026-05-11 01:38:52
PELXM-80GY1:3	PQ-20260511-093852206-4620	kg	2.1000	accepted	2026-05-10	2026-05-11 01:39:23
PELXM-80R	PQ-20260511-094403305-9969	kg	2.3000	draft	2026-05-11	2026-05-11 01:44:03
PELXM-80W	PQ-20260511-094403305-9969	kg	2.1000	draft	2026-05-11	2026-05-11 01:44:03
PELXZ-D80H	PQ-20260511-095302983-7322	銕?2.1000	accepted	2026-05-09	2026-05-11 01:53:03
PELXZ-S105	PQ-20260511-095302983-7322	kg	1.8000	accepted	2026-05-09	2026-05-11 01:53:24
PELXZ-S120 1:1	PQ-20260511-095228881-3413	銕?2.7000	accepted	2026-05-10	2026-05-11 01:52:29
PELXZ-S120 1:4	PQ-20260511-095228881-3413	銕?3.6000	accepted	2026-05-10	2026-05-11 01:52:29
PELXZ-S1201:1	PQ-20260511-095228881-3413	kg	2.7000	accepted	2026-05-10	2026-05-11 01:52:37
PELXZ-S1201:4	PQ-20260511-095228881-3413	kg	3.6000	accepted	2026-05-10	2026-05-11 01:52:37
PETLXM-D25	PQ-20260408-133151209-5563	kg	15.5000	accepted	2026-04-08	2026-04-08 05:31:51
PETLXM-D36	PQ-20260408-133151209-5563	kg	13.2000	accepted	2026-04-08	2026-05-10 15:55:02
PETLXM-D50	PQ-20260408-133147527-9583	kg	13.7000	accepted	2026-04-06	2026-05-10 00:05:13
PETLXM-D50W	PQ-20260408-133150556-6995	kg	2.2000	accepted	2026-04-07	2026-04-08 05:32:35
PETLXM-D75	PQ-20260408-133147527-9583	kg	14.2000	accepted	2026-04-06	2026-05-10 00:05:13
PETLXM-S23W	PQ-20260408-133150556-6995	銕?2.3000	accepted	2026-04-07	2026-05-10 18:51:10
PETLXM-S25	PQ-20260408-133150556-6995	kg	1.6000	accepted	2026-04-07	2026-04-08 05:32:35
PETLXM-S50W	PQ-20260408-133150556-6995	kg	2.7000	accepted	2026-04-07	2026-04-08 05:32:35
PETLXM-S75	PQ-20260408-133150556-6995	銕?2.8000	accepted	2026-04-07	2026-05-10 18:51:10
PETLXM-T36	PQ-20260408-133151301-6318	銕?1.6000	accepted	2026-04-08	2026-04-08 05:31:51
